,Month,Fortified,Red ,Rose ,sparkling ,Sweet white,Dry white
157,Feb-93,1412,1247,40,1564,217,3264
158,Mar-93,1964,2017,46,1898,227,3308
159,Apr-93,2018,2257,45,2121,242,3688
160,May-93,2329,2255,41,1831,185,3136
161,Jun-93,2660,2255,55,1515,175,2824
162,Jul-93,2923,3057,57,2048,252,3644
163,Aug-93,2626,3330,54,2795,319,4694
164,Sep-93,2132,1896,46,1749,202,2914
165,Oct-93,1772,2096,52,3339,254,3686
166,Nov-93,2526,2374,48,4227,336,4358
167,Dec-93,2755,2535,77,6410,431,5587
168,Jan-94,1154,1041,30,1197,150,2265
169,Feb-94,1568,1728,35,1968,280,3685
170,Mar-94,1965,2201,42,1720,187,3754
171,Apr-94,2659,2455,48,1725,279,3708
172,May-94,2354,2204,44,1674,193,3210
173,Jun-94,2592,2660,45,1693,227,3517
174,Jul-94,2714,3670,*,2031,225,3905
175,Aug-94,2294,2665,*,1495,205,3670
176,Sep-94,2416,2639,46,2968,259,4221
177,Oct-94,2016,2226,51,3385,254,4404
178,Nov-94,2799,2586,63,3729,275,5086
179,Dec-94,2467,2684,84,5999,394,5725
